schema name,table name,column name,data type,max length,is nullable,column order
Synapse,Filter_SpokeGroup,Tenant_Id,int,4,0,1
Synapse,Filter_SpokeGroup,Group_Level1,nvarchar,400,0,2
Synapse,Filter_SpokeGroup,Group_Level2,nvarchar,400,0,3
Synapse,Filter_SpokeGroup,Group_Level3Plus,nvarchar,400,1,4
Synapse,Filter_SpokeGroup,Spoke_Name,nvarchar,256,0,5
Synapse,Filter_SpokeGroup,Filter_UpdateTime,datetime2,8,1,6
Synapse,Filter_TeamCustomFieldValue,Tenant_Id,int,4,0,1
Synapse,Filter_TeamCustomFieldValue,Vendor_Id,int,4,1,2
Synapse,Filter_TeamCustomFieldValue,Spoke_Name,nvarchar,256,0,3
Synapse,Filter_TeamCustomFieldValue,RespondingTeam_Name,nvarchar,256,0,4
Synapse,Filter_TeamCustomFieldValue,Vendor_Name,nvarchar,256,0,5
Synapse,Filter_TeamCustomFieldValue,CustomField_Name,varchar,100,1,6
Synapse,Filter_TeamCustomFieldValue,CustomField_Value,varchar,100,1,7
Synapse,Filter_TeamCustomFieldValue,Filter_UpdateTime,datetime2,8,1,8
Synapse,Filter_TemplateQBAssessmentActualResults,Tenant_Id,int,4,0,1
Synapse,Filter_TemplateQBAssessmentActualResults,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateQBAssessmentActualResults,Assessment_Name,varchar,200,1,3
Synapse,Filter_TemplateQBAssessmentActualResults,ActualResults,nvarchar,-1,1,4
Synapse,Filter_TemplateQBAssessmentActualResults,QuestionType,int,4,1,5
Synapse,Filter_TemplateQBAssessmentActualResults,IsGroupQuestion,int,4,0,6
Synapse,Filter_TemplateQBAssessmentActualResults,Filter_UpdateTime,datetime2,8,1,7
Synapse,Filter_TemplateQBAssessmentDomain,Tenant_Id,int,4,1,1
Synapse,Filter_TemplateQBAssessmentDomain,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateQBAssessmentDomain,Assessment_Name,varchar,200,1,3
Synapse,Filter_TemplateQBAssessmentDomain,Domain_Name,varchar,200,1,4
Synapse,Filter_TemplateQBAssessmentDomain,QuestionType,int,4,1,5
Synapse,Filter_TemplateQBAssessmentDomain,Filter_UpdateTime,datetime2,8,1,6
Synapse,Filter_TemplateQBAssessmentQuestionTag,Tenant_Id,int,4,0,1
Synapse,Filter_TemplateQBAssessmentQuestionTag,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateQBAssessmentQuestionTag,Assessment_Name,varchar,200,1,3
Synapse,Filter_TemplateQBAssessmentQuestionTag,QuestionTag_Name,nvarchar,8000,1,4
Synapse,Filter_TemplateQBAssessmentQuestionTag,QuestionType,int,4,1,5
Synapse,Filter_TemplateQBAssessmentQuestionTag,Filter_UpdateTime,datetime2,8,1,6
Synapse,Filter_TemplateQBAssessmentStatus,Tenant_Id,int,4,1,1
Synapse,Filter_TemplateQBAssessmentStatus,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateQBAssessmentStatus,Assessment_Name,varchar,200,1,3
Synapse,Filter_TemplateQBAssessmentStatus,Status,varchar,11,1,4
Synapse,Filter_TemplateQBAssessmentStatus,QuestionType,int,4,1,5
Synapse,Filter_TemplateQBAssessmentStatus,Filter_UpdateTime,datetime2,8,1,6
Synapse,Filter_TemplateQBAssessmentVersion,Tenant_Id,int,4,0,1
Synapse,Filter_TemplateQBAssessmentVersion,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateQBAssessmentVersion,Assessment_Name,varchar,200,1,3
Synapse,Filter_TemplateQBAssessmentVersion,ResponseVersion,varchar,112,1,4
Synapse,Filter_TemplateQBAssessmentVersion,QuestionType,int,4,1,5
Synapse,Filter_TemplateQBAssessmentVersion,Filter_UpdateTime,datetime2,8,1,6
Synapse,Filter_TemplateRespondingTeam,Tenant_Id,int,4,1,1
Synapse,Filter_TemplateRespondingTeam,Template_Name,varchar,200,1,2
Synapse,Filter_TemplateRespondingTeam,RespondingTeam,nvarchar,8000,1,3
Synapse,Filter_TemplateRespondingTeam,QuestionType,int,4,1,4
Synapse,Filter_TemplateRespondingTeam,Filter_UpdateTime,datetime2,8,1,5
Synapse,IncrementalControl,TABLE_CATALOG,nvarchar,100,1,1
Synapse,IncrementalControl,TABLE_TYPE,nvarchar,40,1,2
Synapse,IncrementalControl,SOURCE_SCHEMA,nvarchar,40,1,3
Synapse,IncrementalControl,TARGET_SCHEMA,nvarchar,40,1,4
Synapse,IncrementalControl,TABLE_NAME,nvarchar,1000,1,5
Synapse,IncrementalControl,INCREMENTAL_FLAG,varchar,1,1,6
Synapse,IncrementalControl,IS_ACTIVE,int,4,1,7
Synapse,IncrementalControl,IS_DELETED,int,4,1,8
Synapse,IncrementalControl,MODIFIED_BENCHMARK_FIELD,nvarchar,2000,1,9
Synapse,IncrementalControl,LAST_MODIFIED_DATE,datetime2,8,1,10
Synapse,IncrementalControl,KEY_COLUMNS,nvarchar,400,1,11
Synapse,IncrementalControl,JobRunTime,datetime2,8,1,12
Synapse,IncrementalControl,rowsRead,int,4,1,13
Synapse,IncrementalControl,rowsCopied,int,4,1,14
Synapse,IncrementalControl,YF_SSV,nvarchar,200,1,15
Synapse,IncrementalControl,FULL_QUERY,nvarchar,6000,1,16
Synapse,SynKeyColumns,TABLE_TYPE,nvarchar,40,1,1
Synapse,SynKeyColumns,SOURCE_SCHEMA,nvarchar,40,1,2
Synapse,SynKeyColumns,TARGET_SCHEMA,nvarchar,40,1,3
Synapse,SynKeyColumns,TABLE_NAME,nvarchar,1000,1,4
Synapse,SynKeyColumns,KEY_COLUMNS,nvarchar,400,1,5
Synapse,SynKeyColumns,YF_SSV,nvarchar,200,1,6
Synapse,vwAbpTenants,AbpTenants_Id,int,4,0,1
Synapse,vwAbpTenants,AbpTenants_ConnectionString,nvarchar,2048,1,2
Synapse,vwAbpTenants,AbpTenants_CreationTime,datetime2,8,0,3
Synapse,vwAbpTenants,AbpTenants_CreatorUserId,bigint,8,1,4
Synapse,vwAbpTenants,AbpTenants_CustomCssId,uniqueidentifier,16,1,5
Synapse,vwAbpTenants,AbpTenants_DeleterUserId,bigint,8,1,6
Synapse,vwAbpTenants,AbpTenants_DeletionTime,datetime2,8,1,7
Synapse,vwAbpTenants,AbpTenants_EditionId,int,4,1,8
Synapse,vwAbpTenants,AbpTenants_IsActive,bit,1,0,9
Synapse,vwAbpTenants,AbpTenants_IsDeleted,bit,1,0,10
Synapse,vwAbpTenants,AbpTenants_LastModificationTime,datetime2,8,1,11
Synapse,vwAbpTenants,AbpTenants_LastModifierUserId,bigint,8,1,12
Synapse,vwAbpTenants,AbpTenants_LogoFileType,nvarchar,128,1,13
Synapse,vwAbpTenants,AbpTenants_LogoId,uniqueidentifier,16,1,14
Synapse,vwAbpTenants,AbpTenants_Name,nvarchar,256,0,15
Synapse,vwAbpTenants,AbpTenants_TenancyName,nvarchar,128,0,16
Synapse,vwAbpTenants,AbpTenants_IsSeller,bit,1,0,17
Synapse,vwAbpTenants,AbpTenants_ImportFileLogId,bigint,8,1,18
Synapse,vwAbpTenants,AbpTenants_ReferralCode,nvarchar,8000,1,19
Synapse,vwAbpTenants,AbpTenants_ServiceProviderId,int,4,1,20
Synapse,vwAbpTenants,AbpTenants_ProductLabel,nvarchar,8000,1,21
Synapse,vwAbpTenants,AbpTenants_HasCompletedProfileSetup,bit,1,0,22
