schema,view name,column name,data type,max length,is nullable
reporting,vwAssessmentLinkedDataList,Assessment_Name,varchar,200,1
reporting,vwAssessmentLinkedDataList,Assessment_TenantId,int,4,1
reporting,vwAssessmentLinkedDataList,Assessment_AuthorityId,int,4,1
reporting,vwAssessmentLinkedDataList,Assessment_PolicyId,bigint,8,1
reporting,vwAssessmentLinkedDataList,Assessment_LinkedRiskList,varchar,8000,1
reporting,vwAssessmentLinkedDataList,Assessment_LinkedIssueList,nvarchar,8000,1
reporting,vwAssessmentLinkedDataList,Assessment_LinkedAssetList,nvarchar,8000,1
reporting,vwAssessmentLinkedDataList,Assessment_LinkedRegisterList,nvarchar,8000,1
reporting,vwAssessmentLinkedDataList,Assessment_LinkedRegisterRecordList,nvarchar,8000,1
reporting,vwAssessmentLinkedDataList,Assessment_UpdateTime,datetime2,8,1
reporting,vwHaileyAuthorityProvision,union_id,uniqueidentifier,16,0
reporting,vwHaileyAuthorityProvision,tenant_id,int,4,1
reporting,vwHaileyAuthorityProvision,tenant_name,nvarchar,256,0
reporting,vwHaileyAuthorityProvision,record_type,varchar,9,0
reporting,vwHaileyAuthorityProvision,record_id,varchar,45,1
reporting,vwHaileyAuthorityProvision,last_updatetime,datetime2,8,1
reporting,vwHaileyAuthorityProvision,status,int,4,1
reporting,vwHaileyAuthorityProvision,text_data,nvarchar,-1,1
reporting,vwHaileyAuthorityProvision,text_hash,varchar,64,1
reporting,vwHaileyAuthorityProvision,additional_data,nvarchar,-1,1
reporting,vwResponsibilityTask,Type,varchar,22,0
reporting,vwResponsibilityTask,ResponsibilityTask_Id,bigint,8,0
reporting,vwResponsibilityTask,TenantId,int,4,0
reporting,vwResponsibilityTask,Policy_Id,bigint,8,0
reporting,vwResponsibilityTask,ResponsibilityTask_ResponsibilityId,bigint,8,0
reporting,vwResponsibilityTask,Title,nvarchar,8000,1
reporting,vwResponsibilityTask,Description,nvarchar,8000,1
reporting,vwResponsibilityTask,ResponsibilityTask_DueDate,datetime2,8,1
reporting,vwResponsibilityTask,ResponsibilityTask_CompletedDate,datetime2,8,1
reporting,vwResponsibilityTask,ResponsibilityTask_DueDateStatus,varchar,11,0
reporting,vwResponsibilityTask,ResponsibilityTask_StatusCode,varchar,11,0
reporting,vwResponsibilityTask,ResponsibilityTask_LastModificationTime,datetime2,8,1
reporting,vwResponsibilityTask,ResponsibilityTask_UserId,bigint,8,0
reporting,vwResponsibilityTask,AssigneeFilter,nvarchar,194,1
reporting,vwStatementResponse,StatementResponse_Id,bigint,8,0
reporting,vwStatementResponse,StatementResponse_CreationTime,datetime2,8,0
reporting,vwStatementResponse,StatementResponse_LastModificationTime,datetime2,8,1
reporting,vwStatementResponse,StatementResponse_TenantId,int,4,0
reporting,vwStatementResponse,StatementResponse_StatementDueDate,datetime2,8,1
reporting,vwStatementResponse,StatementResponse_Response,nvarchar,8000,1
reporting,vwStatementResponse,StatementResponse_StatementId,bigint,8,0
reporting,vwStatementResponse,StatementResponse_UserId,bigint,8,0
reporting,vwStatementResponse,StatementResponse_Status,int,4,0
reporting,vwStatementResponse,StatementResponse_StatusCode,varchar,11,0
reporting,vwStatementResponse,StatementResponse_IsDeprecated,bit,1,0
reporting,vwStatementResponse,StatementResponse_CompletedDate,datetime2,8,1
reporting,vwStatementResponse,StatementResponse_StatementUserIsCurrent,int,4,0
reporting,vwStatementResponse,StatementResponse_DeletedForAssigneeRemoved,bit,1,0
reporting,vwHaileyRequest,HaileyRequest_Id,int,4,0
reporting,vwHaileyRequest,HaileyRequest_SourceEntityId,bigint,8,0
reporting,vwHaileyRequest,HaileyRequest_TargetEntityId,bigint,8,1
reporting,vwHaileyRequest,HaileyRequest_RequestType,int,4,0
reporting,vwHaileyRequest,HaileyRequest_RequestMessage,nvarchar,8000,1
reporting,vwHaileyRequest,HaileyRequest_RequestId,nvarchar,8000,1
reporting,vwHaileyRequest,HaileyRequest_RequestStatus,int,4,0
reporting,vwHaileyRequest,HaileyRequest_RequestedTenantId,int,4,1
reporting,vwHaileyRequest,HaileyRequest_RequestedUserId,bigint,8,1
reporting,vwHaileyRequest,HaileyRequest_Arguments,nvarchar,8000,1
analytics,vRiskTreatmentPlanAssignee,Uuid,uniqueidentifier,16,0
analytics,vRiskTreatmentPlanAssignee,TenantId,int,4,0
analytics,vRiskTreatmentPlanAssignee,RiskTreatmentPlanAssignee_Id,int,4,0
analytics,vRiskTreatmentPlanAssignee,RiskTreatmentPlan_Id,int,4,0
analytics,vRiskTreatmentPlanAssignee,RiskTreatmentPlan_AssigneeId,bigint,8,1
analytics,vRiskTreatmentPlanAssignee,RiskTreatmentPlan_AssigneeName,nvarchar,256,1
reporting,vwAbpLanguageTexts,AbpLanguageTexts_Id,bigint,8,0
