table name,column name,data type,max length,precision,scale,is nullable
AbpBackgroundJobs,Id,bigint,8,19,0,0
AbpBackgroundJobs,CreationTime,datetime2,8,27,7,0
AbpBackgroundJobs,CreatorUserId,bigint,8,19,0,1
AbpBackgroundJobs,IsAbandoned,bit,1,1,0,0
AbpBackgroundJobs,JobArgs,nvarchar,-1,0,0,0
AbpBackgroundJobs,JobType,nvarchar,1024,0,0,0
AbpBackgroundJobs,LastTryTime,datetime2,8,27,7,1
AbpBackgroundJobs,NextTryTime,datetime2,8,27,7,0
AbpBackgroundJobs,Priority,tinyint,1,3,0,0
AbpBackgroundJobs,TryCount,smallint,2,5,0,0
AbpDynamicEntityProperties,Id,int,4,10,0,0
AbpDynamicEntityProperties,EntityFullName,nvarchar,512,0,0,1
AbpDynamicEntityProperties,DynamicPropertyId,int,4,10,0,0
AbpDynamicEntityProperties,TenantId,int,4,10,0,1
AbpDynamicEntityPropertyValues,Id,bigint,8,19,0,0
AbpDynamicEntityPropertyValues,Value,nvarchar,-1,0,0,0
AbpDynamicEntityPropertyValues,EntityId,nvarchar,-1,0,0,1
AbpDynamicEntityPropertyValues,DynamicEntityPropertyId,int,4,10,0,0
AbpDynamicEntityPropertyValues,TenantId,int,4,10,0,1
AbpDynamicProperties,Id,int,4,10,0,0
AbpDynamicProperties,PropertyName,nvarchar,512,0,0,1
AbpDynamicProperties,DisplayName,nvarchar,-1,0,0,1
AbpDynamicProperties,InputType,nvarchar,-1,0,0,1
AbpDynamicProperties,Permission,nvarchar,-1,0,0,1
AbpDynamicProperties,TenantId,int,4,10,0,1
AbpDynamicPropertyValues,Id,bigint,8,19,0,0
AbpDynamicPropertyValues,Value,nvarchar,-1,0,0,0
AbpDynamicPropertyValues,TenantId,int,4,10,0,1
AbpDynamicPropertyValues,DynamicPropertyId,int,4,10,0,0
AbpEditions,Id,int,4,10,0,0
AbpEditions,CreationTime,datetime2,8,27,7,0
AbpEditions,CreatorUserId,bigint,8,19,0,1
AbpEditions,DeleterUserId,bigint,8,19,0,1
AbpEditions,DeletionTime,datetime2,8,27,7,1
AbpEditions,DisplayName,nvarchar,-1,0,0,0
AbpEditions,IsDeleted,bit,1,1,0,0
AbpEditions,LastModificationTime,datetime2,8,27,7,1
AbpEditions,LastModifierUserId,bigint,8,19,0,1
AbpEditions,Name,nvarchar,-1,0,0,0
AbpEditions,Discriminator,nvarchar,-1,0,0,0
AbpEditions,AnnualPrice,decimal,9,18,2,1
AbpEditions,ExpiringEditionId,int,4,10,0,1
AbpEditions,MonthlyPrice,decimal,9,18,2,1
AbpEditions,TrialDayCount,int,4,10,0,1
AbpEditions,WaitingDayAfterExpire,int,4,10,0,1
AbpEditions,MarketplaceItemId,int,4,10,0,1
AbpEditions,FixedPrice,decimal,9,18,2,1
AbpEditions,ServiceProviderId,int,4,10,0,1
AbpEditions,IsServiceProviderEdition,bit,1,1,0,0
AbpEditions,DefaultExternalPlanId,nvarchar,-1,0,0,1
AbpEditions,ExternalProductId,nvarchar,-1,0,0,1
AbpEditions,IsUserBasedBaseEdition,bit,1,1,0,1
AbpEditions,IsServiceProviderClientOnlyEdition,bit,1,1,0,1
AbpEditions,ExternalPaymentGatewayAnnualAddOnId,nvarchar,-1,0,0,1
AbpEditions,ExternalPaymentGatewayAnnualPlanId,nvarchar,-1,0,0,1
AbpEditions,ExternalPaymentGatewayMonthlyAddOnId,nvarchar,-1,0,0,1
AbpEditions,ExternalPaymentGatewayMonthlyPlanId,nvarchar,-1,0,0,1
